Location,population,max_total_case,max_infected_rate_pct
Micronesia (country),116255,30,0.0258
Moldova,4024025,518793,12.8924
Monaco,39520,12186,30.835
Mongolia,3329282,924035,27.7548
Montenegro,628051,237148,37.7594
Montserrat,4981,980,19.6748
Morocco,37344787,1167983,3.1276
Mozambique,32163045,225709,0.7018
Myanmar,54806014,613326,1.1191
Namibia,2587344,166189,6.4232
Nauru,10873,0,0
Nepal,29674920,979132,3.2995
Netherlands,17173094,8179035,47.627
New Caledonia,288217,62016,21.5171
New Zealand,5126300,1162499,22.6772
Nicaragua,6702379,18491,0.2759
Niger,25130810,9031,0.0359
Nigeria,211400704,256028,0.1211
Niue,1614,0,0
North America,596581283,99315631,16.6475
North Korea,25887045,1,0
North Macedonia,2082661,311851,14.9737
Northern Cyprus,0,0,0
Northern Mariana Islands,57910,0,0
Norway,5465629,1433262,26.2232
Oceania,43219954,8750230,20.2458
Oman,5223376,389473,7.4563
Pakistan,225199929,1530387,0.6796
Palau,18174,5043,27.7484
Palestine,5222756,657573,12.5905
Panama,4381583,854449,19.5009
Papua New Guinea,9119005,44432,0.4872
Paraguay,7219641,650661,9.0124
Peru,33359415,3580347,10.7326
Philippines,111046910,3690451,3.3233
Pitcairn,47,0,0
Poland,37797000,6007238,15.8934
Portugal,10167923,4632100,45.556
Puerto Rico,2828246,0,0
Qatar,2930524,368519,12.5752
Romania,19127772,2908704,15.2067
Russia,145912022,18060405,12.3776
Rwanda,13276517,130052,0.9796
Saint Helena,6095,4,0.0656
Saint Kitts and Nevis,53546,5719,10.6805
Saint Lucia,184401,25593,13.879
Saint Pierre and Miquelon,5771,2748,47.6174
Saint Vincent and the Grenadines,111269,9447,8.4902
Samoa,200144,13499,6.7446
San Marino,34010,17105,50.294
Sao Tome and Principe,223364,5991,2.6822
Saudi Arabia,35340680,767412,2.1715
Senegal,17196308,86109,0.5007
Serbia,6871547,2017189,29.3557
Seychelles,98910,44016,44.5011
Sierra Leone,8141343,7682,0.0944
Singapore,5453600,1298309,23.8065
Sint Maarten (Dutch part),43421,0,0
Slovakia,5449270,2542345,46.6548
Slovenia,2078723,1024643,49.2919
Solomon Islands,703995,18174,2.5816
Somalia,16359500,26565,0.1624
South Africa,60041996,3954971,6.587
South America,434260137,57614245,13.2672
South Korea,51305184,18103638,35.2862
South Sudan,11381377,17592,0.1546
Spain,46745211,12326264,26.369
Sri Lanka,21497306,663823,3.0879
Sudan,44909351,62321,0.1388
Suriname,591798,80416,13.5884
Sweden,10160159,2507948,24.6841
Switzerland,8715494,3668054,42.0866
Syria,18275704,55891,0.3058
Taiwan,23855008,1952355,8.1843
Tajikistan,9749625,17786,0.1824
Tanzania,61498438,35354,0.0575
Thailand,69950844,4450457,6.3623
Timor,1343875,22913,1.705
Togo,8478242,37085,0.4374
Tokelau,1368,0,0
Tonga,106759,11644,10.9068
Trinidad and Tobago,1403374,161435,11.5033
Tunisia,11935764,1042935,8.7379
Turkey,85042736,15071772,17.7226
Turkmenistan,6117933,0,0
Turks and Caicos Islands,39226,6123,15.6095
Tuvalu,11925,0,0
Uganda,47123533,164366,0.3488
Ukraine,43466822,5040518,11.5962
United Arab Emirates,9991083,907824,9.0863
United Kingdom,68207114,22370976,32.7986
United States,332915074,84012408,25.2354
United States Virgin Islands,104218,0,0
Upper middle income,2147483647,129551237,6.0327
Uruguay,3485152,916388,26.2941
Uzbekistan,33935765,239025,0.7043
Vanuatu,314464,9043,2.8757
Vatican,812,29,3.5714
Venezuela,28704947,523618,1.8241
Vietnam,98168829,10718369,10.9183
Wallis and Futuna,11094,454,4.0923
Western Sahara,611872,0,0
World,2147483647,529369929,24.6507
Yemen,30490639,11822,0.0388
Zambia,18920657,321503,1.6992
Zimbabwe,15092171,252092,1.6703
